alexandr malý,Psittacula krameri
kulík hnědý,Charadrius morinellus
kulík mořský,Charadrius alexandrinus
kulík pacifický,Pluvialis fulva
kulík písečný,Charadrius hiaticula
kulík říční,Charadrius dubius
kulík zlatý,Pluvialis apricaria
kulíšek nejmenší,Glaucidium passerinum
kvakoš noční,Nycticorax nycticorax
labuť malá,Cygnus columbianus
labuť velká,Cygnus olor
labuť zpěvná,Cygnus cygnus
ledňáček říční,Alcedo atthis
lejsek bělokrký,Ficedula albicollis
lejsek černohlavý,Ficedula hypoleuca
lejsek malý,Ficedula parva
lejsek šedý,Muscicapa striata
lelek lesní,Caprimulgus europaeus
linduška horská,Anthus spinoletta
linduška lesní,Anthus trivialis
linduška luční,Anthus pratensis
linduška rudokrká,Anthus cervinus
linduška skalní,Anthus petrosus
linduška úhorní,Anthus campestris
linduška velká,Anthus richardi
luňák červený,Milvus milvus
luňák hnědý,Milvus migrans
luněc šedý,Elanus caeruleus
lyska černá,Fulica atra
lyskonoh ploskozobý,Phalaropus fulicarius
lyskonoh úzkozobý,Phalaropus lobatus
lžičák pestrý,Spatula clypeata
mandelík hajní,Coracias garrulus
marabu africký,Leptoptilos crumenifer
mlynařík dlouhoocasý,Aegithalos caudatus
modruška tajgová,Tarsiger cyanurus
morčák chocholatý,Lophodytes cucullatus
morčák malý,Mergellus albellus
morčák prostřední,Mergus serrator
morčák velký,Mergus merganser
moták lužní,Circus pygargus
moták pilich,Circus cyaneus
moták pochop,Circus aeruginosus
moták stepní,Circus macrourus
moudivláček lužní,Remiz pendulinus
orebice horská/čukar,Alectoris chukar
orel bělohlavý,Haliaeetus leucocephalus
orel jestřábí,Aquila fasciata
orel královský,Aquila heliaca
orel křiklavý,Clanga pomarina
orel mořský,Haliaeetus albicilla
orel nejmenší,Hieraaetus pennatus
orel skalní,Aquila chrysaetos
orel stepní,Aquila nipalensis
orel volavý,Clanga clanga
orel východní,Haliaeetus pelagicus
ořešník kropenatý,Nucifraga caryocatactes
orlík krátkoprstý,Circaetus gallicus
orlosup bradatý,Gypaetus barbatus
orlovec říční,Pandion haliaetus
ostralka bělolící,Anas bahamensis
ostralka štíhlá,Anas acuta
ostříž lesní,Falco subbuteo
ouhorlík černokřídlý,Glareola nordmanni
ouhorlík stepní,Glareola pratincola
pelikán bílý,Pelecanus onocrotalus
pěnice bělohrdlá,Curruca melanocephala
pěnice černohlavá,Sylvia atricapilla
pěnice hnědokřídlá,Curruca communis
pěnice kaštanová,Curruca undata
pěnice malá,Curruca nana
pěnice pokřovní,Curruca curruca
pěnice slavíková,Sylvia borin
pěnice vlašská,Curruca nisoria
pěnice vousatá,Curruca cantillans
